Total_Time,Computation_Time,Derived_Communication_Time,Measured_Communication_Time,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size,Message_Size_(Bytes),Total_Time_STD,Computation_Time_STD,Measured_Communication_Time_STD,Derived_Communication_Time_STD,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Communication_to_Total_Time_Ratio,RF_Model_Communication_Time,RF_Model_Communication_Time_Percentage_Error,Gradient_Boosting_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time_Percentage_Error,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time_Percentage_Error
0.029808625,0.0097557499999999,0.0200528749999999,0.020048875,4,2,2MiB,2097152.0,4.0KiB,512.0,5.838650850153599e-05,0.0005773074895582,0.0005497564091258,0.0005502348220305,8.0,1.0,2.0,Memory_Bound,0.6725863739102357,0.05267436057329178,1.6272975206375122,0.035098228603601456,0.7506332993507385,0.029712945222854614,0.48202553391456604
0.044207875,0.009378625,0.03482925,0.034826,4,2,2MiB,2097152.0,4.0KiB,512.0,0.0093796306222246,0.0005694519157707,0.0097779083525056,0.009778179300744,8.0,1.0,4.0,Memory_Bound,0.7877781956269104,0.050253111869096756,0.4429768919944763,0.024615829810500145,-0.29317665100097656,0.027218908071517944,-0.21843138337135315
0.038798625,0.009586875,0.02921175,0.029208375,4,2,2MiB,2097152.0,20.0KiB,2560.0,0.0068511285737734,0.0001719821484195,0.0069181368867907,0.0069185203575258,8.0,5.0,4.0,Memory_Bound,0.7528198486415434,0.050843264907598495,0.7407084107398987,0.02365310676395893,-0.19019436836242676,0.02613610029220581,-0.10518472641706467
0.036982625,0.009707375,0.02727525,0.027272375,4,2,2MiB,2097152.0,40.0KiB,5120.0,0.0057858785404098,0.000323448580728,0.006019670172391,0.0060192779830723,8.0,10.0,4.0,Memory_Bound,0.7374375128861189,0.05090096965432167,0.866392970085144,0.02509164623916149,-0.07996109873056412,0.02669306844472885,-0.021241525188088417
0.0417079999999999,0.0094758749999999,0.032232125,0.032229875,4,2,2MiB,2097152.0,4.0KiB,512.0,0.0108742572964777,0.0005597335163941,0.0112636465058778,0.0112634344499968,8.0,1.0,8.0,Memory_Bound,0.772750431571881,0.05026121065020561,0.5594603419303894,0.031442638486623764,-0.024425655603408813,0.021271035075187683,-0.34002116322517395
0.0375885,0.00960275,0.02798575,0.0279825,4,2,2MiB,2097152.0,20.0KiB,2560.0,0.005732513083282,0.0001389637992428,0.0058188826891423,0.0058198696237544,8.0,5.0,8.0,Memory_Bound,0.7444431142503692,0.05085136368870735,0.817255973815918,0.030499674379825592,0.08995532989501953,0.023383401334285736,-0.16435623168945312
0.044058375,0.0095,0.034558375,0.034554625,4,2,2MiB,2097152.0,40.0KiB,5120.0,0.0108076375070768,0.0003028778631725,0.011048554033645,0.0110483121893968,8.0,10.0,8.0,Memory_Bound,0.7842918627843174,0.05090906843543053,0.47329238057136536,0.03193820267915726,-0.07571849226951599,0.016651690006256104,-0.5181053280830383
0.0449473125,0.0102404375,0.034706875,0.0347025625,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0116099908145891,0.0008174805019654,0.0112067239133965,0.0112071150997647,16.0,1.0,2.0,Memory_Bound,0.7720720232160709,0.05278531834483147,0.5210784077644348,0.037868063896894455,0.09121810644865036,0.0350579172372818,0.010240035131573677
0.031361125,0.009656125,0.021705,0.0217016875,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0097156349758713,0.0004230123926967,0.0099598438850638,0.0099600542857456,16.0,1.0,4.0,Memory_Bound,0.6919932719250345,0.05028018727898598,1.316879153251648,0.024123726412653923,0.11160599440336227,0.02786119282245636,0.28382608294487
0.0330020625,0.009706875,0.0232951875,0.0232925,4,4,2MiB,2097152.0,20.0KiB,2560.0,0.0085383329642614,0.000370659863453,0.0084038787696515,0.008403676808537,16.0,5.0,4.0,Memory_Bound,0.7057892215069892,0.05087034031748772,1.1839793920516968,0.022693460807204247,-0.025718137621879578,0.026778385043144226,0.14965695142745972
0.0322856875,0.0095059375,0.02277975,0.0227765625,4,4,2MiB,2097152.0,40.0KiB,5120.0,0.0094026047103897,0.0004927097863791,0.0095687669984744,0.0095689629107599,16.0,10.0,4.0,Memory_Bound,0.7054693352898246,0.05092804506421089,1.2359846830368042,0.024132002145051956,0.05951027199625969,0.02620091289281845,0.1503453403711319
0.0333776875,0.00954425,0.0238334375,0.0238300625,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0085208073027057,0.0003218983729377,0.0085937621670368,0.0085932813724498,16.0,1.0,8.0,Memory_Bound,0.7139518727892696,0.05028828606009483,1.1102876663208008,0.030950535088777542,0.29880213737487793,0.021787159144878387,-0.08572795987129211
0.0343659375,0.009526,0.0248399375,0.0248367499999999,4,4,2MiB,2097152.0,40.0KiB,5120.0,0.0085207677578721,0.0003254975038306,0.008558328323189,0.0085582504598541,16.0,10.0,8.0,Memory_Bound,0.7227141700993898,0.05093614384531975,1.0508376359939575,0.030978556722402573,0.24728702008724213,0.01603338122367859,-0.3544493317604065
0.04173140625,0.00969215625,0.03203925,0.0320355937499999,4,8,2MiB,2097152.0,4.0KiB,512.0,0.0111507456389118,0.0002814771426527,0.0112537046868447,0.0112536052750885,32.0,1.0,4.0,Memory_Bound,0.7676614959506666,0.05078716576099396,0.5853356122970581,0.027878817170858383,-0.1297549158334732,0.03186723589897156,-0.005255312193185091
