Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id
16,18,10.5 MiB,11059200.0,150000.0,146.5 KiB,289,1,1,Memory_Bound,FE,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-4188020329390468813
16,18,5.3 MiB,5529600.0,25000.0,24.4 KiB,289,1,1,Memory_Bound,BS,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-3759908459623444476
8,8,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,926044245343509440
8,8,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,7157785759410942770
8,8,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,65.4398,4.161,100.3748,6.4001,102.5944,6.2876,8,1271003389347698131,-6776478305928757244
8,8,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,65.4398,4.161,100.3748,6.4001,102.5944,6.2876,8,1271003389347698131,-1422364507703398312
8,15,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,54.9035,32.8656,80.2162,11.4251,82.0848,10.2689,11,-5596072196069369877,3386562845777392968
8,15,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,54.9035,32.8656,80.2162,11.4251,82.0848,10.2689,11,-5596072196069369877,445671810046038173
8,15,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,46.1927,27.2514,71.6772,12.5969,59.7249,9.0454,11,6234944935293346361,41288535370568634
8,15,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,46.1927,27.2514,71.6772,12.5969,59.7249,9.0454,11,6234944935293346361,-2211646205677031759
150,4,3.3 MiB,3477366.3744000006,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.6989,4.237,10.9764,3.4945,17.2409,3.6268,25,-281772025961659960,810104522727602945
