Total_Time,Computation_Time,Derived_Communication_Time,Measured_Communication_Time,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size,Message_Size_(Bytes),Total_Time_STD,Computation_Time_STD,Measured_Communication_Time_STD,Derived_Communication_Time_STD,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Communication_to_Total_Time_Ratio,RF_Model_Communication_Time,RF_Model_Communication_Time_Percentage_Error,Gradient_Boosting_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time_Percentage_Error,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time_Percentage_Error
0.029808625,0.0097557499999999,0.0200528749999999,0.020048875,4,2,2MiB,2097152.0,4.0KiB,512.0,5.838650850153599e-05,0.0005773074895582,0.0005497564091258,0.0005502348220305,8.0,1.0,2.0,Memory_Bound,0.6725863739102357,0.07419227063655853,2.7005701065063477,0.03438490256667137,0.715053915977478,0.04316774010658264,1.153125286102295
0.044207875,0.009378625,0.03482925,0.034826,4,2,2MiB,2097152.0,4.0KiB,512.0,0.0093796306222246,0.0005694519157707,0.0097779083525056,0.009778179300744,8.0,1.0,4.0,Memory_Bound,0.7877781956269104,0.07455365359783173,1.1407469511032104,0.02452487125992775,-0.295788437128067,0.04083454608917236,0.17253048717975616
0.038798625,0.009586875,0.02921175,0.029208375,4,2,2MiB,2097152.0,20.0KiB,2560.0,0.0068511285737734,0.0001719821484195,0.0069181368867907,0.0069185203575258,8.0,5.0,4.0,Memory_Bound,0.7528198486415434,0.07455365359783173,1.552475094795227,0.026632828637957573,-0.0881783589720726,0.04083454608917236,0.39804238080978394
0.036982625,0.009707375,0.02727525,0.027272375,4,2,2MiB,2097152.0,40.0KiB,5120.0,0.0057858785404098,0.000323448580728,0.006019670172391,0.0060192779830723,8.0,10.0,4.0,Memory_Bound,0.7374375128861189,0.07470613718032837,1.7392604351043701,0.026198692619800568,-0.039368871599435806,0.04083454608917236,0.49728602170944214
0.053949625,0.011631,0.042318625,0.04231525,4,2,2MiB,2097152.0,200.0KiB,25600.0,0.0052214070646115,0.0035504243760429,0.0046415757494088,0.0046413028595831,8.0,50.0,4.0,Memory_Bound,0.7843474352231363,0.0754464864730835,0.7829621434211731,0.026565993204712868,-0.37218865752220154,0.04236850142478943,0.0012584830401465297
0.0417079999999999,0.0094758749999999,0.032232125,0.032229875,4,2,2MiB,2097152.0,4.0KiB,512.0,0.0108742572964777,0.0005597335163941,0.0112636465058778,0.0112634344499968,8.0,1.0,8.0,Memory_Bound,0.772750431571881,0.07582024484872818,1.3524833917617798,0.025008736178278923,-0.2240510731935501,0.030952423810958862,-0.03963560238480568
0.0375885,0.00960275,0.02798575,0.0279825,4,2,2MiB,2097152.0,20.0KiB,2560.0,0.005732513083282,0.0001389637992428,0.0058188826891423,0.0058198696237544,8.0,5.0,8.0,Memory_Bound,0.7444431142503692,0.07582024484872818,1.709559440612793,0.02647143229842186,-0.054000433534383774,0.030952423810958862,0.1061350628733635
0.044058375,0.0095,0.034558375,0.034554625,4,2,2MiB,2097152.0,40.0KiB,5120.0,0.0108076375070768,0.0003028778631725,0.011048554033645,0.0110483121893968,8.0,10.0,8.0,Memory_Bound,0.7842918627843174,0.07597271353006363,1.1986263990402222,0.026037296280264854,-0.24648885428905487,0.030952423810958862,-0.10424661636352539
0.0449473125,0.0102404375,0.034706875,0.0347025625,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0116099908145891,0.0008174805019654,0.0112067239133965,0.0112071150997647,16.0,1.0,2.0,Memory_Bound,0.7720720232160709,0.07419227063655853,1.137947916984558,0.03565903380513191,0.02756199985742569,0.042618006467819214,0.2280939519405365
0.031361125,0.009656125,0.021705,0.0217016875,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0097156349758713,0.0004230123926967,0.0099598438850638,0.0099600542857456,16.0,1.0,4.0,Memory_Bound,0.6919932719250345,0.07455365359783173,2.43538498878479,0.02391907572746277,0.10217582434415817,0.040284812450408936,0.856298565864563
0.0330020625,0.009706875,0.0232951875,0.0232925,4,4,2MiB,2097152.0,20.0KiB,2560.0,0.0085383329642614,0.000370659863453,0.0084038787696515,0.008403676808537,16.0,5.0,4.0,Memory_Bound,0.7057892215069892,0.07455365359783173,2.2007577419281006,0.026027033105492592,0.11739969998598099,0.040284812450408936,0.7295185923576355
0.0322856875,0.0095059375,0.02277975,0.0227765625,4,4,2MiB,2097152.0,40.0KiB,5120.0,0.0094026047103897,0.0004927097863791,0.0095687669984744,0.0095689629107599,16.0,10.0,4.0,Memory_Bound,0.7054693352898246,0.07470613718032837,2.279956579208374,0.025592897087335587,0.12365054339170456,0.040284812450408936,0.7686958909034729
0.0465381874999999,0.0096765625,0.0368616249999999,0.0368590625,4,4,2MiB,2097152.0,400.0KiB,51200.0,0.0089824439409519,0.0002265074415858,0.0090798971667411,0.0090794577197305,16.0,100.0,4.0,Memory_Bound,0.7920175769630049,0.09411441534757614,1.5533589124679565,0.04665055498480797,0.2656468451023102,0.052520751953125,0.42490747570991516
0.0333776875,0.00954425,0.0238334375,0.0238300625,4,4,2MiB,2097152.0,4.0KiB,512.0,0.0085208073027057,0.0003218983729377,0.0085937621670368,0.0085932813724498,16.0,1.0,8.0,Memory_Bound,0.7139518727892696,0.07582024484872818,2.1817057132720947,0.023678084835410118,-0.006377530284225941,0.032200396060943604,0.3512510657310486
0.0343659375,0.009526,0.0248399375,0.0248367499999999,4,4,2MiB,2097152.0,40.0KiB,5120.0,0.0085207677578721,0.0003254975038306,0.008558328323189,0.0085582504598541,16.0,10.0,8.0,Memory_Bound,0.7227141700993898,0.07597271353006363,2.05888295173645,0.0247066430747509,-0.00523851253092289,0.032200396060943604,0.29648181796073914
0.047841375,0.0097335625,0.0381078125,0.038105,4,4,2MiB,2097152.0,200.0KiB,25600.0,0.0058302681528704,0.000240308387481,0.005782593352035,0.0057822771597653,16.0,50.0,8.0,Memory_Bound,0.7964863050027303,0.07658261805772781,1.0097787380218506,0.030490702018141747,-0.19982410967350006,0.038249045610427856,0.0037802336737513542
0.04173140625,0.00969215625,0.03203925,0.0320355937499999,4,8,2MiB,2097152.0,4.0KiB,512.0,0.0111507456389118,0.0002814771426527,0.0112537046868447,0.0112536052750885,32.0,1.0,4.0,Memory_Bound,0.7676614959506666,0.07660283148288727,1.391178846359253,0.02950037457048893,-0.07913754880428314,0.043591469526290894,0.3607199192047119
0.0377054374999999,0.00990596875,0.02779946875,0.0277960625,4,8,2MiB,2097152.0,20.0KiB,2560.0,0.012818250753168,0.000272523449034,0.01279677476197,0.0127965525142134,32.0,5.0,4.0,Memory_Bound,0.7371897620867018,0.07660283148288727,1.7558879852294922,0.032954201102256775,0.1855708658695221,0.043591469526290894,0.568260669708252
0.03798528125,0.00979653125,0.02818875,0.0281843124999999,4,8,2MiB,2097152.0,40.0KiB,5120.0,0.0157153858611441,0.0002539310910925,0.0157428985427507,0.0157432722059297,32.0,10.0,4.0,Memory_Bound,0.7419798293582464,0.07675531506538391,1.723334550857544,0.03391209617257118,0.20322591066360474,0.043591469526290894,0.546657145023346
